net,length_um
_04687_,582.305
_04381_,581.82
_02533_,581.74
net2,581.74
_06203_,581.34
_06081_,581.2
net208,580.3
_02740_,579.97
net32,578.66
_07195_,578.5
_06902_,578.44
_06814_,576.85
_03665_,576.81
_06334_,576.28
_02248_,575.02
_03702_,574.79
_08575_,574.32
net207,574.12
net45,573.5
_06067_,572.865
_06050_,572.64
_03315_,569.46
_06005_,568.465
_03605_,567.9
_03681_,567.54
_04051_,565.86
clknet_5_7__leaf_clk,565.79
_06789_,564.93
_06052_,564.69
net186,564.56
_08880_,563.06
_07325_,562.75
_08064_,561.74
_05915_,561.69
_02552_,560.76
_04059_,560.385
_06351_,558.81
_08980_,557.56
_06411_,557.4
_05980_,556.035
_06434_,555.9
_09142_,555.74
_03654_,555.57
_04027_,554.92
_02664_,554.65
_03222_,553.65
_09320_,551.3
_06149_,550.61
_03606_,550.46
_05966_,549.05
_06393_,548.65
_06487_,548.385
_03293_,547.99
net149,547.65
_06053_,547.375
_09133_,545.72
_05056_,545.46
_06439_,544.345
net187,540.9
_08533_,540.86
min_sad_reg\[12\],540.7
_06047_,539.52
_04274_,538.82
_05989_,537.875
_09136_,537.37
_04956_,537.03
_06318_,537.01
_06242_,532.78
_03739_,532.16
_06045_,531.74
_04351_,531.26
_06396_,531.19
net95,531.18
_04431_,530.79
_06219_,530.78
_06113_,530.47
_06037_,529.535
net178,528.94
_05873_,527.68
net92,527.2
_02903_,527
_09140_,525
net35,523.9
_06259_,523.24
_03583_,522.13
_02197_,521.86
_08979_,521.55
_06403_,521.305
net169,521.13
_05914_,520.89
net83,520.45
_09175_,519.11
_03731_,517.46
_07592_,516.56
_06241_,516.1
net204,515.75
_09066_,514.97
_09256_,514.5
net1,513.76
_02666_,513.62
net199,513.4
_02268_,512.06
_06476_,511.66
_03295_,511.33
_08091_,510.71
net195,510.56
net206,510.32
net48,510.18
clknet_5_29__leaf_clk,509.04
_07110_,508.7
_07976_,508.62
_04475_,508.17
_07923_,507.64
net201,507.01
_06148_,506.595
_06217_,506.56
_05952_,505.99
net200,505.255
_02453_,504.36
_06160_,503.85
_03507_,503.68
_06577_,503.06
_06290_,501.25
_03150_,499.88
_03168_,499.13
_07013_,499.08
_03213_,496.53
_06234_,494.415
_06378_,494.13
clknet_5_30__leaf_clk,493.56
_03268_,493.37
_03449_,492.98
_03569_,489.58
net157,488.62
_03722_,487.46
_09202_,487.42
_06180_,486.55
_06489_,485
net57,484.92
_02527_,484.67
_03935_,483.94
_03892_,482.9
net138,482.78
_07817_,481.76
net38,480.94
_02581_,480.9
net216,480.235
_04464_,480.17
net176,480.1
_06625_,480.02
_06035_,479.84
_08903_,479.82
_06189_,479.75
net75,478.2
_04312_,478.08
_09105_,478.02
_06745_,477.18
_06285_,476.04
_05944_,474.915
_04371_,470.89
_08181_,470.75
net205,470.64
_03886_,469.98
_09319_,469.8
_02571_,469.58
_07257_,468.78
cur_mb_mem\[27\]\[7\],468.28
net37,468.12
_07774_,468.08
_05921_,467.6
_03737_,466.92
_02822_,466.16
net143,465.92
_04463_,465.14
_06051_,464.42
_07750_,463.48
clknet_5_3__leaf_clk,462.98
clknet_5_1__leaf_clk,462.21
cur_mb_mem\[97\]\[7\],461.965
cur_mb_mem\[68\]\[3\],461.83
_07674_,461.72
clknet_5_26__leaf_clk,461.67
net215,460.74
clknet_5_16__leaf_clk,460.22
_06324_,460.06
_02893_,459.12
net123,458.82
clknet_5_28__leaf_clk,458.44
_09193_,456.21
_02862_,455.16
_06810_,454.88
_07557_,453.94
_06233_,453.72
clknet_5_9__leaf_clk,452.86
_03325_,452.83
_03894_,451.415
_07999_,448.66
net253,448.5
_06352_,447.205
_02535_,447.2
_02347_,446.395
net87,446.36
_07483_,446.1
_06224_,445.675
_04053_,445.24
_07824_,443.99
net108,443.68
cur_mb_mem\[215\]\[5\],443.67
clknet_5_5__leaf_clk,443.51
net110,443.28
_02417_,442.8
_06443_,441.76
_04021_,441.49
_08019_,441.14
_06292_,441.06
cur_mb_mem\[215\]\[4\],438.6
_07407_,438.16
_07564_,438.135
_03259_,437.84
_02537_,437.76
_09155_,437.62
_07760_,437.28
_07330_,436.9
_06432_,436.615
_07448_,436.61
_06231_,434.87
net220,434.58
_07765_,434.35
_06097_,434.32
_08279_,433.48
_07831_,431.82
_06731_,431.68
clknet_5_11__leaf_clk,431.07
